,Original Y,Predicted Y
278, <=50K,0
279, >50K,1
280, <=50K,0
281, >50K,0
282, <=50K,0
283, <=50K,0
284, <=50K,0
285, >50K,1
286, >50K,0
287, <=50K,0
288, <=50K,1
289, <=50K,0
290, <=50K,0
291, <=50K,0
292, <=50K,0
293, <=50K,0
294, <=50K,1
295, <=50K,0
296, <=50K,0
297, <=50K,0
298, <=50K,1
299, <=50K,0
300, >50K,0
301, <=50K,0
302, >50K,0
303, >50K,1
304, <=50K,1
305, <=50K,0
306, <=50K,0
307, <=50K,0
308, >50K,0
309, >50K,0
310, <=50K,0
311, >50K,0
312, <=50K,1
313, >50K,0
314, <=50K,0
315, <=50K,0
316, <=50K,0
317, <=50K,1
318, <=50K,1
319, <=50K,0
320, <=50K,0
321, <=50K,0
322, <=50K,0
323, <=50K,0
324, <=50K,0
325, <=50K,0
326, <=50K,0
327, >50K,0
328, <=50K,1
329, <=50K,0
330, <=50K,0
331, <=50K,0
332, <=50K,0
333, <=50K,0
334, <=50K,1
335, <=50K,1
336, <=50K,0
337, <=50K,0
338, <=50K,0
339, <=50K,1
340, <=50K,0
341, >50K,1
342, >50K,0
343, <=50K,0
344, <=50K,1
345, <=50K,1
346, <=50K,0
347, <=50K,0
348, <=50K,0
349, <=50K,0
350, >50K,0
351, <=50K,0
352, >50K,0
353, <=50K,1
354, >50K,1
355, >50K,0
356, <=50K,0
357, >50K,0
358, <=50K,0
359, <=50K,0
360, <=50K,1
361, >50K,1
362, <=50K,0
363, >50K,0
364, <=50K,1
365, <=50K,0
366, <=50K,0
367, <=50K,1
368, >50K,0
369, <=50K,1
370, <=50K,0
371, <=50K,0
372, >50K,0
373, <=50K,1
374, <=50K,0
375, <=50K,1
376, <=50K,1
377, <=50K,0
378, <=50K,0
379, <=50K,0
380, <=50K,0
381, <=50K,0
382, <=50K,1
383, <=50K,0
384, <=50K,0
385, <=50K,1
386, <=50K,0
387, >50K,0
388, <=50K,0
389, <=50K,0
390, >50K,0
391, <=50K,1
392, <=50K,1
393, >50K,0
394, <=50K,0
395, <=50K,0
396, <=50K,0
397, <=50K,0
398, >50K,0
399, >50K,0
400, <=50K,1
401, <=50K,0
402, >50K,1
403, <=50K,0
404, <=50K,0
405, >50K,1
406, <=50K,0
407, <=50K,1
408, >50K,0
409, <=50K,1
410, <=50K,0
411, <=50K,1
412, <=50K,0
413, >50K,0
414, <=50K,1
415, >50K,0
416, <=50K,0
417, <=50K,1
418, <=50K,1
419, <=50K,1
420, <=50K,0
421, <=50K,0
422, >50K,0
423, <=50K,0
424, <=50K,0
425, <=50K,0
426, <=50K,1
427, <=50K,0
428, >50K,0
429, <=50K,1
430, <=50K,0
431, <=50K,0
432, <=50K,0
433, >50K,0
434, <=50K,0
435, >50K,0
436, <=50K,1
437, <=50K,0
438, <=50K,0
439, <=50K,1
440, <=50K,1
441, <=50K,0
442, <=50K,0
443, >50K,0
444, <=50K,1
445, <=50K,1
446, <=50K,1
447, <=50K,0
448, <=50K,0
449, <=50K,1
450, <=50K,0
451, >50K,0
452, >50K,1
453, >50K,0
454, >50K,0
455, >50K,0
456, <=50K,0
457, <=50K,1
458, <=50K,0
459, <=50K,0
460, <=50K,0
461, <=50K,1
462, <=50K,0
463, <=50K,0
464, <=50K,0
465, <=50K,0
466, <=50K,0
467, <=50K,0
468, >50K,0
469, >50K,0
470, >50K,0
471, <=50K,0
472, <=50K,1
473, <=50K,1
474, <=50K,0
475, <=50K,1
476, <=50K,0
477, <=50K,1
478, <=50K,0
479, <=50K,0
480, <=50K,0
481, <=50K,0
482, <=50K,0
483, <=50K,0
484, <=50K,1
485, <=50K,0
486, <=50K,1
487, <=50K,1
488, <=50K,0
489, >50K,0
490, <=50K,1
491, <=50K,1
492, <=50K,0
493, <=50K,0
494, <=50K,0
495, <=50K,1
496, <=50K,1
497, <=50K,1
498, <=50K,0
499, <=50K,1
500, <=50K,1
501, <=50K,0
502, <=50K,0
503, <=50K,0
504, <=50K,0
505, <=50K,1
506, <=50K,1
507, <=50K,0
508, <=50K,1
509, <=50K,0
510, <=50K,0
511, <=50K,1
512, <=50K,0
513, >50K,1
514, <=50K,0
515, <=50K,0
516, <=50K,1
517, <=50K,0
518, <=50K,0
519, >50K,0
520, >50K,0
521, >50K,0
522, <=50K,1
523, >50K,0
524, >50K,0
525, <=50K,0
526, >50K,0
527, <=50K,0
528, <=50K,0
529, <=50K,0
530, <=50K,0
531, <=50K,0
532, <=50K,0
533, >50K,0
534, >50K,0
535, <=50K,0
536, <=50K,0
537, <=50K,0
538, <=50K,0
539, <=50K,0
540, <=50K,0
541, <=50K,0
542, <=50K,1
543, <=50K,0
544, <=50K,0
545, <=50K,0
546, <=50K,0
547, <=50K,0
548, <=50K,1
549, <=50K,0
550, <=50K,1
551, <=50K,0
552, <=50K,0
553, <=50K,0
554, >50K,1
555, <=50K,0
556, <=50K,0
557, <=50K,1
558, <=50K,0
559, <=50K,0
560, <=50K,0
561, >50K,0
562, >50K,1
563, <=50K,0
564, >50K,1
565, <=50K,0
566, <=50K,0
567, <=50K,1
568, <=50K,0
569, <=50K,0
570, <=50K,1
571, <=50K,0
572, <=50K,1
573, >50K,0
574, <=50K,0
575, >50K,1
576, <=50K,0
577, <=50K,0
578, <=50K,1
579, <=50K,0
580, >50K,0
581, >50K,0
582, <=50K,0
583, <=50K,0
584, <=50K,1
585, <=50K,0
586, <=50K,0
587, <=50K,0
588, >50K,0
589, <=50K,0
590, <=50K,0
591, <=50K,0
592, >50K,0
593, >50K,0
594, <=50K,0
595, <=50K,1
596, <=50K,0
597, >50K,0
598, <=50K,0
599, <=50K,0
600, <=50K,1
601, <=50K,0
602, <=50K,0
603, <=50K,0
604, <=50K,0
605, <=50K,0
606, >50K,1
607, <=50K,0
608, <=50K,1
609, <=50K,0
610, <=50K,0
611, <=50K,1
612, <=50K,1
613, <=50K,0
614, <=50K,0
615, <=50K,0
616, <=50K,1
617, <=50K,0
618, <=50K,0
619, >50K,0
620, <=50K,0
621, <=50K,1
622, <=50K,0
623, <=50K,0
624, <=50K,1
625, <=50K,0
626, >50K,0
627, <=50K,1
628, >50K,0
629, >50K,1
630, <=50K,0
631, <=50K,0
632, >50K,0
633, >50K,0
634, <=50K,0
635, <=50K,1
636, <=50K,0
637, >50K,0
638, <=50K,1
639, >50K,1
640, <=50K,0
641, <=50K,0
642, <=50K,0
643, >50K,0
644, <=50K,0
645, >50K,0
646, <=50K,1
647, <=50K,0
648, <=50K,0
649, >50K,0
650, <=50K,0
651, <=50K,1
652, >50K,1
653, <=50K,0
654, <=50K,1
655, <=50K,0
656, <=50K,0
657, <=50K,0
658, <=50K,0
659, >50K,0
660, >50K,1
661, <=50K,1
662, <=50K,0
663, <=50K,0
664, <=50K,0
665, >50K,1
666, <=50K,1
667, >50K,1
668, <=50K,0
669, <=50K,0
670, <=50K,0
671, <=50K,0
672, <=50K,1
673, >50K,0
674, >50K,0
675, <=50K,1
676, <=50K,0
677, <=50K,0
678, <=50K,0
679, <=50K,0
680, <=50K,0
681, >50K,0
682, >50K,0
683, <=50K,1
684, <=50K,0
685, <=50K,0
686, <=50K,0
687, <=50K,0
688, <=50K,0
689, <=50K,0
690, <=50K,0
691, <=50K,0
692, <=50K,1
693, <=50K,1
694, <=50K,1
695, <=50K,0
696, >50K,0
697, >50K,0
698, <=50K,0
699, <=50K,1
700, <=50K,0
701, <=50K,1
702, <=50K,0
703, <=50K,0
704, >50K,1
705, >50K,0
706, <=50K,0
707, <=50K,1
708, <=50K,0
709, <=50K,0
710, <=50K,1
711, <=50K,0
712, <=50K,1
713, <=50K,0
714, <=50K,1
715, <=50K,1
716, <=50K,0
717, <=50K,1
718, <=50K,0
719, >50K,0
720, <=50K,0
721, <=50K,0
722, <=50K,1
723, >50K,0
724, >50K,0
725, >50K,0
726, <=50K,0
727, <=50K,1
728, <=50K,0
729, >50K,0
730, <=50K,1
731, <=50K,0
732, <=50K,0
733, <=50K,1
734, <=50K,0
735, <=50K,0
736, <=50K,0
737, <=50K,1
738, <=50K,0
739, >50K,1
740, <=50K,0
741, <=50K,0
742, >50K,0
743, <=50K,0
744, <=50K,1
745, >50K,0
746, >50K,0
747, <=50K,1
748, <=50K,1
749, <=50K,0
750, >50K,1
751, <=50K,0
752, <=50K,0
753, <=50K,0
754, <=50K,0
755, <=50K,0
756, >50K,1
757, <=50K,0
758, >50K,0
759, <=50K,0
760, <=50K,0
761, >50K,1
762, <=50K,0
763, >50K,0
764, >50K,1
765, <=50K,1
766, <=50K,1
767, <=50K,0
768, <=50K,0
769, <=50K,0
770, <=50K,0
771, <=50K,1
772, <=50K,1
773, >50K,1
774, <=50K,0
775, <=50K,1
776, <=50K,0
777, <=50K,0
778, >50K,0
779, <=50K,1
780, <=50K,0
781, <=50K,0
782, >50K,0
783, <=50K,0
784, >50K,1
785, <=50K,0
786, <=50K,0
787, <=50K,0
788, <=50K,0
789, <=50K,0
790, >50K,0
791, <=50K,0
792, <=50K,0
793, <=50K,0
794, >50K,0
795, <=50K,0
796, <=50K,0
797, <=50K,1
798, >50K,0
799, >50K,1
800, <=50K,0
801, <=50K,0
802, <=50K,1
803, <=50K,0
804, <=50K,0
805, >50K,0
806, <=50K,0
807, >50K,0
808, >50K,1
809, <=50K,0
810, <=50K,0
811, <=50K,0
812, <=50K,0
813, <=50K,0
814, <=50K,0
815, <=50K,0
816, <=50K,1
817, >50K,0
818, <=50K,0
819, >50K,0
820, <=50K,0
821, <=50K,0
822, <=50K,0
823, <=50K,0
824, <=50K,0
825, >50K,0
826, <=50K,0
827, <=50K,1
828, <=50K,0
829, <=50K,0
830, <=50K,1
831, >50K,0
832, <=50K,1
833, <=50K,0
834, <=50K,0
835, <=50K,0
836, <=50K,1
837, >50K,0
838, <=50K,1
839, <=50K,0
840, <=50K,0
841, <=50K,0
842, >50K,0
843, <=50K,1
844, >50K,1
845, <=50K,0
846, <=50K,0
847, >50K,0
848, <=50K,0
849, <=50K,0
850, >50K,0
851, <=50K,0
852, <=50K,0
853, <=50K,0
854, >50K,1
855, <=50K,0
856, <=50K,0
857, >50K,0
858, <=50K,0
859, >50K,0
860, <=50K,0
861, <=50K,0
862, <=50K,1
863, <=50K,0
864, <=50K,0
865, <=50K,1
866, <=50K,0
867, <=50K,1
868, >50K,0
869, <=50K,1
870, >50K,0
871, <=50K,0
872, >50K,0
873, >50K,0
874, <=50K,1
875, >50K,0
876, <=50K,0
877, <=50K,1
878, >50K,0
879, <=50K,1
880, <=50K,0
881, >50K,1
882, <=50K,0
883, >50K,0
884, <=50K,1
885, <=50K,0
886, <=50K,0
887, <=50K,0
888, <=50K,1
889, <=50K,0
890, <=50K,0
891, <=50K,1
892, <=50K,0
893, >50K,0
894, >50K,0
895, <=50K,0
896, <=50K,1
897, <=50K,0
898, >50K,0
899, <=50K,0
900, <=50K,0
901, <=50K,0
902, <=50K,0
903, <=50K,0
904, <=50K,0
905, <=50K,0
906, <=50K,0
907, <=50K,0
908, <=50K,0
909, <=50K,0
910, <=50K,0
911, <=50K,1
912, <=50K,1
913, <=50K,0
914, <=50K,1
915, >50K,0
916, <=50K,0
917, >50K,0
918, <=50K,0
919, <=50K,0
920, <=50K,1
921, <=50K,0
922, <=50K,1
923, <=50K,0
924, <=50K,0
925, <=50K,1
926, <=50K,0
927, >50K,0
928, <=50K,0
929, <=50K,1
930, <=50K,0
931, <=50K,0
932, <=50K,1
933, <=50K,1
934, >50K,0
935, >50K,0
936, <=50K,0
937, >50K,0
938, <=50K,0
939, >50K,0
940, <=50K,0
941, <=50K,1
942, >50K,0
943, <=50K,1
944, <=50K,1
945, <=50K,0
946, <=50K,0
947, >50K,0
948, <=50K,1
949, <=50K,1
950, >50K,0
951, >50K,0
952, <=50K,1
953, <=50K,0
954, <=50K,0
955, <=50K,1
956, >50K,1
957, <=50K,1
958, >50K,0
959, >50K,0
960, <=50K,0
961, <=50K,0
962, <=50K,1
963, <=50K,1
964, <=50K,0
965, <=50K,1
966, >50K,1
967, <=50K,0
968, >50K,0
969, <=50K,0
970, >50K,0
971, <=50K,0
972, >50K,0
973, <=50K,0
974, <=50K,0
975, <=50K,0
976, <=50K,1
977, >50K,0
978, <=50K,0
979, <=50K,0
980, <=50K,0
981, <=50K,1
982, <=50K,0
983, <=50K,0
984, >50K,1
985, <=50K,1
986, <=50K,1
987, <=50K,1
988, <=50K,0
989, <=50K,0
990, <=50K,0
991, <=50K,0
992, <=50K,0
993, >50K,0
994, <=50K,1
995, >50K,0
996, <=50K,0
997, >50K,0
998, <=50K,0
999, >50K,1
1000, <=50K,0
1001, >50K,0
1002, >50K,1
1003, <=50K,0
1004, <=50K,0
1005, <=50K,1
1006, <=50K,1
1007, >50K,0
1008, >50K,0
1009, <=50K,0
1010, <=50K,0
1011, <=50K,0
1012, >50K,1
1013, >50K,0
1014, <=50K,0
1015, <=50K,0
1016, >50K,0
1017, <=50K,0
1018, <=50K,0
1019, <=50K,0
1020, <=50K,0
1021, >50K,0
1022, <=50K,0
1023, <=50K,0
1024, <=50K,0
1025, <=50K,0
1026, <=50K,0
1027, >50K,1
1028, <=50K,0
1029, <=50K,0
1030, <=50K,0
1031, <=50K,0
1032, <=50K,1
1033, <=50K,0
1034, <=50K,1
1035, <=50K,1
1036, <=50K,0
1037, <=50K,0
1038, <=50K,1
1039, <=50K,0
1040, <=50K,0
1041, <=50K,0
1042, <=50K,1
1043, >50K,0
1044, <=50K,0
1045, <=50K,0
1046, <=50K,0
1047, <=50K,0
1048, <=50K,0
1049, >50K,0
1050, <=50K,0
1051, >50K,1
1052, >50K,1
1053, >50K,0
1054, <=50K,0
1055, <=50K,0
1056, <=50K,0
1057, <=50K,1
1058, >50K,0
1059, >50K,0
1060, <=50K,1
1061, <=50K,0
1062, <=50K,1
1063, <=50K,0
1064, >50K,0
1065, <=50K,0
1066, >50K,0
1067, <=50K,0
1068, <=50K,0
1069, <=50K,0
1070, <=50K,0
1071, >50K,0
1072, >50K,0
1073, >50K,0
1074, <=50K,0
1075, <=50K,0
1076, <=50K,0
1077, <=50K,0
1078, <=50K,0
1079, >50K,0
1080, <=50K,0
1081, <=50K,0
1082, <=50K,0
1083, >50K,0
1084, <=50K,0
1085, <=50K,1
1086, <=50K,0
1087, <=50K,0
1088, >50K,0
1089, <=50K,1
1090, >50K,0
1091, >50K,0
1092, <=50K,0
1093, <=50K,0
1094, <=50K,0
1095, <=50K,1
1096, <=50K,0
1097, <=50K,0
1098, >50K,1
1099, <=50K,0
1100, <=50K,0
1101, >50K,0
1102, <=50K,0
1103, <=50K,0
1104, >50K,0
1105, <=50K,0
1106, <=50K,0
1107, <=50K,0
1108, >50K,0
1109, <=50K,1
1110, >50K,1
1111, >50K,0
1112, <=50K,0
1113, <=50K,0
1114, <=50K,1
1115, >50K,0
1116, <=50K,0
1117, <=50K,0
1118, >50K,0
1119, <=50K,1
1120, <=50K,0
1121, <=50K,0
1122, <=50K,0
1123, <=50K,0
1124, <=50K,0
1125, <=50K,0
1126, >50K,0
1127, <=50K,0
1128, <=50K,0
1129, <=50K,1
1130, <=50K,1
1131, <=50K,0
1132, <=50K,1
1133, <=50K,0
1134, <=50K,0
1135, >50K,0
1136, >50K,1
1137, >50K,1
1138, <=50K,0
1139, <=50K,1
1140, <=50K,0
1141, <=50K,0
1142, <=50K,0
1143, <=50K,0
1144, <=50K,0
1145, >50K,1
1146, <=50K,0
1147, <=50K,0
1148, >50K,0
1149, >50K,1
1150, <=50K,1
1151, <=50K,1
1152, <=50K,0
1153, <=50K,1
1154, <=50K,0
1155, <=50K,0
1156, >50K,0
1157, >50K,1
1158, <=50K,0
1159, <=50K,1
1160, <=50K,0
1161, <=50K,1
1162, >50K,0
1163, >50K,0
1164, >50K,0
1165, <=50K,0
1166, >50K,1
1167, <=50K,0
1168, <=50K,0
1169, <=50K,0
1170, <=50K,1
1171, <=50K,0
1172, >50K,1
1173, <=50K,1
1174, <=50K,0
1175, >50K,0
1176, <=50K,0
1177, >50K,1
1178, <=50K,0
1179, <=50K,1
1180, >50K,0
1181, >50K,0
1182, <=50K,1
1183, <=50K,0
1184, <=50K,0
1185, <=50K,0
1186, <=50K,0
1187, <=50K,0
1188, <=50K,0
1189, <=50K,1
1190, <=50K,1
1191, >50K,0
1192, <=50K,0
1193, <=50K,1
1194, <=50K,0
1195, <=50K,0
1196, <=50K,0
1197, <=50K,0
1198, <=50K,1
1199, <=50K,0
1200, >50K,1
1201, >50K,1
1202, <=50K,0
1203, >50K,1
1204, <=50K,0
1205, >50K,0
1206, <=50K,1
1207, >50K,0
1208, <=50K,0
1209, <=50K,0
1210, >50K,1
1211, <=50K,0
1212, <=50K,0
1213, >50K,0
1214, <=50K,0
1215, >50K,0
1216, >50K,1
1217, <=50K,0
1218, <=50K,0
1219, >50K,0
1220, >50K,1
1221, <=50K,1
1222, <=50K,0
1223, <=50K,0
1224, >50K,0
1225, <=50K,1
1226, >50K,1
1227, <=50K,0
1228, <=50K,1
1229, <=50K,0
1230, >50K,1
1231, <=50K,0
1232, <=50K,0
1233, <=50K,1
1234, <=50K,0
1235, <=50K,0
1236, <=50K,1
1237, <=50K,0
1238, <=50K,0
1239, <=50K,0
1240, >50K,0
1241, <=50K,1
1242, <=50K,0
1243, >50K,0
1244, <=50K,0
1245, <=50K,0
1246, >50K,0
1247, <=50K,0
1248, <=50K,0
1249, <=50K,0
1250, >50K,0
1251, <=50K,1
1252, <=50K,1
1253, <=50K,0
1254, <=50K,0
1255, <=50K,0
1256, <=50K,0
1257, >50K,0
1258, >50K,1
1259, <=50K,0
1260, <=50K,1
1261, >50K,0
1262, <=50K,0
1263, <=50K,0
1264, <=50K,0
1265, <=50K,0
1266, >50K,0
1267, <=50K,1
1268, <=50K,1
1269, <=50K,1
1270, <=50K,0
1271, <=50K,0
1272, <=50K,0
1273, <=50K,1
1274, <=50K,0
1275, >50K,0
1276, >50K,0
1277, >50K,0
1278, <=50K,1
1279, <=50K,1
1280, <=50K,0
1281, >50K,0
1282, >50K,0
1283, <=50K,0
1284, >50K,0
1285, <=50K,0
1286, >50K,1
1287, <=50K,0
1288, <=50K,0
1289, <=50K,1
1290, <=50K,0
1291, <=50K,1
1292, <=50K,1
1293, <=50K,1
1294, <=50K,0
1295, <=50K,1
1296, <=50K,1
1297, <=50K,1
1298, <=50K,0
1299, <=50K,0
1300, <=50K,1
1301, <=50K,1
1302, >50K,0
1303, <=50K,0
1304, <=50K,0
1305, >50K,0
1306, <=50K,1
1307, <=50K,0
1308, <=50K,0
1309, >50K,0
1310, <=50K,1
1311, <=50K,0
1312, <=50K,1
1313, <=50K,0
1314, >50K,1
1315, <=50K,0
1316, >50K,0
1317, <=50K,1
1318, >50K,0
1319, >50K,0
1320, <=50K,0
1321, <=50K,0
1322, >50K,0
1323, >50K,0
1324, >50K,0
1325, <=50K,0
1326, <=50K,1
1327, >50K,0
1328, <=50K,1
1329, <=50K,1
1330, <=50K,0
1331, <=50K,1
1332, <=50K,1
1333, <=50K,1
1334, >50K,0
1335, <=50K,0
1336, <=50K,0
1337, >50K,1
1338, <=50K,1
1339, <=50K,0
1340, <=50K,0
1341, <=50K,0
1342, <=50K,0
1343, <=50K,0
1344, <=50K,0
1345, <=50K,0
1346, >50K,0
1347, <=50K,0
1348, >50K,0
1349, <=50K,0
1350, >50K,1
1351, >50K,0
1352, <=50K,0
1353, <=50K,0
1354, <=50K,0
1355, >50K,0
1356, <=50K,0
1357, <=50K,0
1358, <=50K,0
1359, <=50K,0
1360, <=50K,0
1361, >50K,0
1362, <=50K,0
1363, <=50K,0
1364, <=50K,0
1365, <=50K,1
1366, <=50K,0
1367, <=50K,0
1368, >50K,0
1369, <=50K,1
1370, <=50K,1
1371, <=50K,0
1372, <=50K,0
1373, <=50K,0
1374, <=50K,0
1375, <=50K,0
1376, <=50K,0
1377, <=50K,1
1378, >50K,0
1379, <=50K,0
1380, <=50K,0
1381, <=50K,0
1382, <=50K,0
1383, <=50K,0
1384, <=50K,0
1385, <=50K,0
1386, <=50K,1
1387, >50K,1
1388, <=50K,0
1389, <=50K,0
1390, <=50K,0
1391, >50K,1
1392, <=50K,0
1393, <=50K,0
1394, <=50K,1
1395, >50K,0
1396, <=50K,1
1397, <=50K,0
1398, <=50K,1
1399, >50K,0
1400, <=50K,1
1401, <=50K,1
1402, <=50K,0
1403, <=50K,0
1404, <=50K,0
1405, >50K,1
1406, <=50K,0
1407, >50K,1
1408, <=50K,0
1409, <=50K,0
1410, <=50K,1
1411, <=50K,0
1412, >50K,0
1413, >50K,0
1414, <=50K,0
1415, <=50K,0
1416, <=50K,0
1417, >50K,0
1418, >50K,0
1419, <=50K,0
1420, <=50K,0
1421, <=50K,1
1422, <=50K,0
1423, <=50K,0
1424, <=50K,0
1425, <=50K,0
1426, >50K,0
1427, <=50K,1
1428, <=50K,0
1429, >50K,0
1430, <=50K,0
1431, <=50K,1
1432, >50K,0
1433, <=50K,0
1434, <=50K,0
1435, <=50K,0
1436, <=50K,1
1437, >50K,0
1438, <=50K,0
1439, >50K,0
1440, <=50K,0
1441, <=50K,1
1442, >50K,1
1443, <=50K,0
1444, >50K,0
1445, <=50K,0
1446, <=50K,1
1447, <=50K,0
1448, >50K,0
1449, >50K,0
1450, <=50K,1
1451, <=50K,0
1452, <=50K,1
1453, >50K,0
1454, >50K,1
1455, <=50K,1
1456, <=50K,0
1457, <=50K,1
1458, <=50K,0
1459, >50K,0
1460, >50K,0
1461, <=50K,0
1462, >50K,0
1463, >50K,0
1464, <=50K,0
1465, <=50K,0
1466, <=50K,0
1467, <=50K,0
1468, <=50K,0
1469, >50K,0
1470, >50K,0
1471, <=50K,0
1472, <=50K,0
1473, <=50K,0
1474, <=50K,0
1475, <=50K,0
1476, <=50K,0
1477, <=50K,0
1478, <=50K,0
1479, <=50K,1
1480, <=50K,0
1481, >50K,1
1482, >50K,1
1483, <=50K,1
1484, >50K,1
1485, <=50K,0
1486, <=50K,0
1487, <=50K,0
1488, <=50K,1
1489, >50K,0
1490, <=50K,1
1491, <=50K,0
1492, >50K,0
1493, >50K,0
1494, <=50K,0
1495, >50K,0
1496, >50K,0
1497, <=50K,0
1498, >50K,0
1499, <=50K,0
1500, >50K,1
1501, <=50K,0
1502, <=50K,0
1503, >50K,0
1504, <=50K,1
1505, <=50K,0
1506, <=50K,0
1507, <=50K,1
1508, <=50K,1
1509, <=50K,1
1510, <=50K,0
1511, >50K,0
1512, >50K,0
1513, <=50K,1
1514, >50K,0
1515, <=50K,0
1516, >50K,0
1517, <=50K,1
1518, <=50K,0
1519, <=50K,0
1520, <=50K,1
1521, <=50K,0
1522, <=50K,0
1523, <=50K,0
1524, <=50K,0
1525, <=50K,0
1526, <=50K,0
1527, <=50K,0
1528, >50K,0
1529, <=50K,0
1530, <=50K,0
1531, >50K,0
1532, >50K,0
1533, >50K,1
1534, <=50K,0
